JC CARD WARS (BALANCEADO);;;;;
Ω Supremo;;;;;
ID;Nome;Universo;AT;DF;Nível
1;Ser Acima de Todos;Marvel;5000;5000;Carta não criada ainda
2;Presença;DC;5000;5000;Carta não criada ainda
3;Zeno;Dragon Ball;4800;4800;Carta não criada ainda
4;Dr. Manhattan;DC;4500;4300;Manipula a realidade: troca 1 carta da arena ou cemitério por 1 carta da arena ou cemitério geral.
5;Whis;Dragon Ball;4200;4200;Treina um aliado, sendo ambos removidos da arena por 2T, retornando com +50% em seus PT e sua HB podendo ser utilizadas. Após isso, Whis pode treinar 'outro' aliado.
6;Beerus;Dragon Ball;4000;4000;Uma vez por T, pode destruir qualquer carta seja na arena ou da mão do oponente.
7;Eternity;Marvel;3900;3900;Carta não criada ainda
8;Morte;Marvel;3900;3900;Carta não criada ainda
9;Anti-Monitor;DC;3800;3800;Carta não criada ainda
10;Galactus;Marvel;3700;3600;Drena permanentemente 20% do AT de todas as cartas adversárias na arena.
11;Darkseid;DC;3600;3500;Invoca 1 Lacaio com 500 PTs e controla 1 oponente permanentemente. Efeitos cessam se Darkseid for eliminado.
12;Yhwach;Bleach;3500;3500;Carta não criada ainda
13;Odin;Marvel;3400;3400;Pode revelar a mão do oponente e selar uma das cartas da mão permanentemente. 
14;Zeus;Marvel/DC;3400;3400;Chuva de raios: reduz 50% do AT de todos os oponentes enquanto Zeus estiver na arena. Com sacrifício de uma carta aliada, também reduz 50% da DF de 1 oponente por T.
15;Jean Grey (Fênix);Marvel;3300;3200;Controla 1 oponente por 1T. Ao fim do T, destroi o alvo.
16;Shenlong;Dragon Ball;3200;3200;Carta não criada ainda
⚛ Destruidor (Alto Poder + Efeito Colateral);;;;;
ID;Nome;Universo;AT;DF;Nível
17;Broly;Dragon Ball;3100;2800;A cada aliado derrotado aumenta sua ira, e ganha 1000 de AT. Ao perder o 4º aliado, é consumido pela fúria e se autodestrói.
18;Sentry;Marvel;2900;2700;Dobra seu AT e tornar-se imune a tudo por 3T. Após isso, a instabilidade cresce e se autodestrói.
19;Hulk;Marvel;2700;2400;Por 3T, entra em fúria, dobrando seu AT e podendo atacar até 2 oponentes por T. Ao fim, retorna a Banner com apenas 100 PT.
20;Apocalypse (Doomsday);DC;2600;2500;Pode ressuscitar até 3x, sempre no T seguinte e cada vez com -25% de seus Pts. Na 3º leva junto dois companheiro.
21;Ultron;Marvel;2500;2400;Carta não criada ainda
22;Juggernaut;Marvel;2400;2600;Sempre que o adversario atacar, ganha +20% AT. Mesmo em modo de DF. (Deve ativar antes, é revelada no seu próximo T). Perde a DF na mesma proporção.
23;Gorr;Marvel;2300;2200;Carta não criada ainda
24;Sentinela;Marvel;2200;2300;Carta não criada ainda
Lendário (Top Tier Mortais);;;;;
ID;Nome;Universo;AT;DF;Habilidade
25;Superman (Prime);DC;2500;2500;Absorve energia solar, dobra seu AT e torna-se imune a AT e atravessa barreiras por 3T.
26;Goku (Instinto Superior);Dragon Ball;2500;2450;Instinto Superior: Esquiva de AT, HB e EF. E usa um Kamehameha que elimina 1 oponente por T. Dura 3T.
27;Vegeta (Ultra Ego);Dragon Ball;2500;2400;Ultra Ego: por 2T elimina quem tocar, ao ser atingido resiste e contra-ataca, com poder devastador.
28;Adão Negro;DC;2450;2450;Causa uma explosão de energia, reduzindo 50% dos PTs dos oponentes.
29;Shazam;DC;2400;2350;Poder do trovão: aumenta 600 em seu AT. Lança a energia acumulada, reduzindo 50% DF de todos os oponentes. dura 3T.
30;Satoru Gojo;Jujutsu Kaisen;2400;2400;Carta não criada ainda
31;Jiren;Dragon Ball;2400;2350;Libera seu poder, aumentando seu AT em 50%, anulando todos os EF do oponente e reduzindo 50% dos AT contra si. dura 3T.
32;Yoriichi Tsugikuni;Demon Slayer;2350;2300;Carta não criada ainda
33;Freeza (Black);Dragon Ball;2300;2250;Por 3T ativa sua Forma Black, dobrando seus PTs e concedendo-lhe um contra-ataque imediato.
34;Saitama;One Punch Man;2300;2250;Desfere um Soco Avassalador que destrói HB, EF ou guerreiros do alvo escolhido (exceto Divinos). Pode repetir a cada 4T.
35;Gohan (Beast);Dragon Ball;2300;2200;Desperta sua Forma Beast, aumentando 50% de seu AT por 3T e eliminando um oponente com Makankōsappo.
36;Thor;Marvel;2250;2200;Invoca uma poderosa tempestade em seu T, que elimina até 3 oponentes e bloqueia HB dos demais por 2T.
37;Thanos;Marvel;2250;2250;Ativa a Manopla do Infinito, escolhe uma Joia por 2T. Mente: controla 1 oponente, Alma: altera AT, DF ou HB de 1 carta.
38;Supergirl;DC;2200;2200;Carta não criada ainda
39;Superboy-Prime;DC;2150;2150;Carta não criada ainda
Titã;;;;;
ID;Nome;Universo;AT;DF;Habilidade
40;Lobo;DC;2100;2100;Carta não criada ainda
41;Ghost Rider;Marvel;2050;2000;Carta não criada ainda
42;Yamamoto;Bleach;2050;2050;Carta não criada ainda
43;Ichigo (Forma Final);Bleach;2000;1950;Carta não criada ainda
44;Flash;DC;2000;2000;Volta no tempo e Ressuscita 2 aliados, mas traz 1 inimigo aleatório de volta.
45;Aang (Avatar State);Avatar;1950;1950;Carta não criada ainda
46;Korra (Avatar State);Avatar;1950;1950;Carta não criada ainda
47;Dr. Estranho;Marvel;1950;1950;Olho de Agamotto: Aumenta 1000 em sua própria DF e revive 1 aliado. Dura 3T.
48;Aizen Sosuke;Bleach;1950;1900;Carta não criada ainda
49;Capitã Marvel;Marvel;1900;1850;Explosão de Fótons: Elimina até 3 oponentes de nível 7 ou inferior. E rouba o AT de 1 deles, somando ao seu.
50;Dr. Destino;Marvel;1900;1900;Rouba a HB de um oponente (ainda não usada). Se o alvo for mágico, reduz seus PTs pela metade.
51;Magneto;Marvel;1850;1850;Cria um campo magnético que paralisa 2 adversários por 2T e destrói oponentes cibernéticos na arena.
52;Senhor Destino;Marvel;1850;1800;Invoca o Elmo de Nabu por 3T. Cria um campo mágico que bloqueia HB inimigas e dobra sua DF e de seus aliados. 
53;Feiticeira Escarlate;Marvel;1850;1800;Realidade alternativa: troca todas as cartas da arena (mesma quantidade), pelas de seus cemitérios (aleatoriamente).
54;Zamasu;Dragon Ball;1850;1850;Troca de corpo com um oponente por 3T. Podendo usar a HB da vítima 1x, tendo sido usada antes ou não.
55;Moro;Dragon Ball;1850;1900;"Drena o AT de 1 oponente para o seu permanentemente; e, ao ser atacado, absorve 1 AT, e soma à sua DF por 3T."
56;Hit;Dragon Ball;1800;1850;Ao ser atacado, salta no tempo e elimina o oponente antes do golpe. Pode usar 2x.
57;Toppo;Dragon Ball;1850;1800;Ativa a forma Hakaishin: fica imune a AT e HB por 3T e usa Hakai para apagar 1 oponente.
58;Majin Boo;Dragon Ball;1800;1750;Absorve 1 oponente que permanecerá absorvido até a eliminação de Majin boo. Pode absorver outro oponente a cada 3T.
Elite;;;;;
ID;Nome;Universo;AT;DF;Habilidade
59;Goku Black;Dragon Ball;1750;1800;Super Saiyajin Rosé: aumenta 1000 em seu AT por 3T e dispara um AT devastador de 1500, ignorando escudos.
60;Piccolo (Orange);Dragon Ball;1800;1750;Orange: aumenta seu AT em 50%, e reduz  AT recebidos em 50%. A cada AT lancado perde 500 de DF, até ser eliminado.
61;Android 17;Dragon Ball;1750;1700;Absorve 2 AT contra si ou seus aliados (à sua escolha) e adiciona ao seu AT, mas perde 500 de DF por absorção.
62;Android 18;Dragon Ball;1750;1650;Absorve 1 AT recebido, juntando ao seu próprio AT.
63;Trunks do Futuro;Dragon Ball;1700;1750;Desfere um golpe preciso de 1500 com sua espada a um oponente no seu T seguinte, seu AT aumenta em 50%.
64;Cell;Dragon Ball;1700;1650;Quando ativo em 2T proprios explode, destruindo a arena e todos nela. Após 2T Cell se regenera com AT +50% e DF -50%.
65;Android 16;Dragon Ball;1700;1750;Carta não criada ainda
66;Toshiro Hitsugaya;Bleach;1750;1700;Carta não criada ainda
67;Kenpachi Zaraki;Bleach;1750;1650;Carta não criada ainda
68;Byakuya Kuchiki;Bleach;1700;1750;Carta não criada ainda
69;Toph Beifong;Avatar;1700;1750;Carta não criada ainda
70;Azula;Avatar;1700;1650;Carta não criada ainda
71;Eren Yeager (Titã Fundador);Attack on Titan;1700;1700;Carta não criada ainda
72;Muzan Kibutsuji;Demon Slayer;1700;1700;Carta não criada ainda
73;Edward Elric;Fullmetal Alchemist;1650;1650;Carta não criada ainda
74;Alphonse Elric;Fullmetal Alchemist;1600;1700;Carta não criada ainda
75;Roy Mustang;Fullmetal Alchemist;1650;1600;Carta não criada ainda
76;Naruto;Naruto;1650;1600;Sábio dos Seis Caminhos: Fica imune a AT por 3T e aumenta seu AT em 50% durante esse período.
77;Sasuke;Naruto;1600;1650;"Manifesta o Susanoo por 3T, elevando seu AT para 2500; Após isso, perde toda a DF. Se for atacado, devolve o AT com +900. "
78;Madara;Naruto;1650;1650;Carta não criada ainda
79;Kaguya;Naruto;1650;1650;Carta não criada ainda
80;Minato Namikaze;Naruto;1600;1600;Carta não criada ainda
81;Might Guy (7º Portão);Naruto;1650;1550;Carta não criada ainda
82;Shanks;One Piece;1600;1600;Carta não criada ainda
83;Dracule Mihawk;One Piece;1650;1550;Carta não criada ainda
84;Kozuki Oden;One Piece;1600;1600;Carta não criada ainda
85;Charlotte Katakuri;One Piece;1550;1600;Carta não criada ainda
86;Luffy (Gear 5);One Piece;1600;1550;Por 2T, dobra seu AT e reduz a DF de todos na arena em 50%.
87;Mulher Maravilha;DC;1600;1600;Por 2T, dobra a DF e, a cada T, o Laço da Verdade revela 1 carta virada para baixo.
